,Subfield,Link
65, Natural gas - proved reserves,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2253rank.html
66, Telephones - fixed lines,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2150rank.html
67, Telephones - mobile cellular,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2151rank.html
68, Internet users,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2153rank.html
69, Broadband - fixed subscriptions,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2274rank.html
70, Airports,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2053rank.html
71, Railways,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2121rank.html
72, Roadways,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2085rank.html
73, Waterways,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2093rank.html
74, Merchant marine,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2108rank.html
75, Military expenditures,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2034rank.html
