Rank,Country,INTERNET USERS,Date of Information
142,Mauritius,"717,618",July 2016 est.
143,Sierra Leone,"708,615",July 2016 est.
144,Mongolia,"674,949",July 2016 est.
145,Mauritania,"661,913",July 2016 est.
146,Papua New Guinea,"652,071",July 2016 est.
147,Chad,"592,623",July 2016 est.
148,Burundi,"574,236",July 2016 est.
149,Luxembourg,"567,698",July 2016 est.
150,Lesotho,"534,360",July 2016 est.
151,Macau,"460,000",July 2016 est.
152,Montenegro,"450,442",July 2016 est.
153,Fiji,"425,680",July 2016 est.
154,Swaziland,"414,724",July 2016 est.
155,"Gambia, The","371,785",July 2016 est.
156,"Congo, Republic of the","362,000",July 2016 est.
157,Iceland,"329,967",July 2016 est.
158,Malta,"320,902",July 2016 est.
159,Timor-Leste,"318,373",July 2016 est.
160,Liberia,"314,717",July 2016 est.
161,Bhutan,"313,347",July 2016 est.
162,Brunei,"306,000",July 2016 est.
163,Cabo Verde,"266,562",July 2016 est.
164,Suriname,"265,964",July 2016 est.
165,Guyana,"262,425",July 2016 est.
166,"Bahamas, The","261,853",July 2016 est.
167,Central African Republic,"246,000",July 2016 est.
168,Maldives,"232,210",July 2016 est.
169,Barbados,"231,883",July 2016 est.
170,Somalia,"203,366",July 2016 est.
171,New Caledonia,"201,000",July 2016 est.
172,French Polynesia,"195,275",July 2016 est.
173,Equatorial Guinea,"180,597",July 2016 est.
174,Belize,"157,735",July 2016 est.
175,Curacao,"138,750",July 2016 est.
176,Guam,"125,328",July 2016 est.
177,Djibouti,"111,212",July 2016 est.
178,Aruba,"106,309",July 2016 est.
179,Saint Lucia,"86,000",July 2016 est.
180,Andorra,"83,887",July 2016 est.
181,Solomon Islands,"69,859",July 2016 est.
182,Bermuda,"69,126",July 2016 est.
183,Eritrea,"69,095",July 2016 est.
184,Vanuatu,"66,613",July 2016 est.
185,Guinea-Bissau,"66,169",July 2016 est.
186,Comoros,"63,084",July 2016 est.
187,Grenada,"62,123",July 2016 est.
188,Antigua and Barbuda,"60,000",July 2016 est.
189,Samoa,"58,508",July 2016 est.
190,Jersey,"58,000",July 2016 est.
191,Virgin Islands,"57,000",July 2016 est.
192,Guernsey,"55,050",July 2016 est.
193,Saint Vincent and the Grenadines,"53,000",July 2016 est.
194,Seychelles,"52,664",July 2016 est.
195,Sao Tome and Principe,"50,000",July 2016 est.
196,Dominica,"49,439",July 2016 est.
197,Faroe Islands,"47,988",July 2016 est.
198,Cayman Islands,"45,242",July 2016 est.
199,Tonga,"42,552",July 2016 est.
200,Greenland,"39,544",July 2016 est.
201,Saint Kitts and Nevis,"39,000",July 2016 est.
202,Liechtenstein,"37,214",July 2016 est.
203,"Micronesia, Federated States of","33,000",July 2016 est.
204,Monaco,"29,116",July 2016 est.
205,Gibraltar,"27,699",July 2016 est.
206,Marshall Islands,"21,857",July 2016 est.
207,San Marino,"17,200",July 2016 est.
208,American Samoa,"17,000",July 2016 est.
209,Northern Mariana Islands,"16,000",July 2016 est.
210,Kiribati,"14,649",July 2016 est.
211,British Virgin Islands,"14,600",July 2016 est.
212,Anguilla,"13,665",July 2016 est.
213,Palau,"7,650",July 2016 est.
214,Cook Islands,"5,160",July 2016 est.
215,Nauru,"5,100",July 2016 est.
216,Tuvalu,"5,042",July 2016 est.
217,Saint Pierre and Miquelon,"4,500",July 2016 est.
218,Antarctica,"4,400",July 2016 est.
219,Wallis and Futuna,"3,450",July 2016 est.
220,Falkland Islands (Islas Malvinas),"3,000",July 2016 est.
221,Montserrat,"2,860",July 2016 est.
222,"Saint Helena, Ascension, and Tristan da Cunha","1,800",July 2016 est.
223,Saint Martin,"1,100",July 2016 est.
224,Niue,"1,090",July 2016 est.
225,Tokelau,805,July 2016 est.
226,Christmas Island,790,July 2016 est.
227,Norfolk Island,765,July 2016 est.
228,Pitcairn Islands,54,July 2016 est.
