country,year,life_ladder,logGDP,social_support,life_exp,freedom,generosity,corruption,continent
Afghanistan,2016,4.220168590545654,7.497287750244141,0.5590717792510986,49.87126541137695,0.5225661993026733,0.0573931522667408,0.7932455539703369,Asia
Albania,2016,4.511100769042969,9.282299995422363,0.6384114623069763,68.69837951660156,0.7298189401626587,-0.01792728900909424,0.901070773601532,Europe
Algeria,2016,5.3881707191467285,9.549138069152832,0.7481496930122375,64.82994842529297,NA,NA,NA,Africa
Argentina,2016,6.427221298217773,NA,0.8828191161155701,67.4439926147461,0.8477022051811218,NA,0.8509244918823242,South America
Armenia,2016,4.325471878051758,8.989568710327148,0.7092183232307434,65.40946960449219,0.6109869480133057,-0.15581442415714264,0.9214210510253906,Europe
Australia,2016,7.250080108642578,10.696281433105469,0.9423342347145081,72.5216293334961,0.9223157167434692,0.22308631241321564,0.39854511618614197,Oceania
Austria,2016,7.04807186126709,10.694595336914062,0.9263185858726501,71.6456527709961,0.88851398229599,0.07153727859258652,0.5236409902572632,Europe
Azerbaijan,2016,5.303894996643066,9.691197395324707,0.777271032333374,62.044925689697266,0.7125731706619263,-0.22822760045528412,0.6067708134651184,Europe
Bahrain,2016,6.169673442840576,10.70677661895752,0.8627001047134399,65.96392059326172,0.8886910676956177,NA,NA,Asia
Bangladesh,2016,4.556140899658203,8.100569725036621,0.6491169333457947,62.04618835449219,0.8747004866600037,-0.07981784641742706,0.6878536343574524,Asia
Belarus,2016,5.177899360656738,9.684698104858398,0.926551103591919,65.7647705078125,0.6582288146018982,-0.13301832973957062,0.6640551686286926,Europe
Belgium,2016,6.948936462402344,10.63217830657959,0.9289640784263611,71.52167510986328,0.865759015083313,-0.06425423175096512,0.4966591000556946,Europe
Benin,2016,4.007357597351074,7.621523380279541,0.49281585216522217,50.76924514770508,0.779795229434967,-0.03852104768157005,0.837715744972229,Africa
Bolivia,2016,5.769723415374756,8.797091484069824,0.7959587574005127,60.04561996459961,0.8817487359046936,-0.03989507630467415,0.852592945098877,South America
Bosnia and Herzegovina,2016,5.180865287780762,9.240181922912598,0.8077051043510437,67.77558135986328,0.6334537267684937,0.14072829484939575,0.9573119878768921,Europe
Botswana,2016,3.498936653137207,9.624712944030762,0.7683027982711792,55.19362258911133,0.8516948819160461,-0.2584221363067627,0.7291718125343323,Africa
Brazil,2016,6.374817371368408,9.525510787963867,0.912455141544342,64.83092498779297,0.8065715432167053,-0.11032358556985855,0.7810927629470825,South America
Bulgaria,2016,4.837560653686523,9.766366958618164,0.9260360598564148,68.22972869873047,0.7002655267715454,-0.17419268190860748,0.935988187789917,Europe
Burkina Faso,2016,4.205634593963623,7.376116752624512,0.7644011378288269,51.10700225830078,0.6446815133094788,0.016965307295322418,0.7205424308776855,Africa
Cambodia,2016,4.461259365081787,8.14667797088623,0.7459012269973755,58.53693771362305,0.9578214883804321,0.07787321507930756,0.8404168486595154,Asia
Cameroon,2016,4.816232204437256,8.020015716552734,0.6592997908592224,48.338279724121094,0.7125070095062256,0.00416181143373251,0.8794505596160889,Africa
Canada,2016,7.244845867156982,10.67451286315918,0.9243925213813782,72.29830169677734,0.9124239087104797,0.19609661400318146,0.3850904405117035,North America
Central African Republic,2016,2.693061113357544,NA,0.2901841700077057,44.02322006225586,0.6240565180778503,NA,0.8590730428695679,Africa
Chad,2016,4.029350280761719,7.584248065948486,0.6162048578262329,45.1081428527832,0.52522212266922,0.04137150198221207,0.8197888731956482,Africa
Chile,2016,6.579056262969971,10.010035514831543,0.8413881659507751,71.83113861083984,0.6522897481918335,0.08974462747573853,0.8581249713897705,South America
China,2016,5.324955940246582,9.561012268066406,0.7417030334472656,69.06670379638672,NA,-0.24521981179714203,NA,Asia
Colombia,2016,6.233715057373047,9.486230850219727,0.8819003701210022,64.00605773925781,0.8349661231040955,-0.1077970564365387,0.8975538611412048,South America
Congo (Brazzaville),2016,4.11949348449707,8.711130142211914,0.6154490113258362,53.89886474609375,0.7859065532684326,-0.11682743579149246,0.7903857231140137,Africa
