source,created_at,id_str,word
Android,2013-02-21T03:22:28Z,304430863435845632,deal
Android,2013-02-21T03:23:50Z,304431206982905856,@michaellunsford
Android,2013-02-21T03:23:50Z,304431206982905856,michael
Android,2013-02-21T03:25:42Z,304431677202108416,@alan
Android,2013-02-21T03:25:42Z,304431677202108416,liljegren
Android,2013-02-21T03:25:42Z,304431677202108416,alan
Android,2013-02-21T03:28:17Z,304432326266454017,@yolie4ms
Android,2013-02-21T03:28:17Z,304432326266454017,loser
Android,2013-02-21T03:28:58Z,304432499507994628,@robertsuppa
Android,2013-02-21T03:30:22Z,304432851804356609,@katt8808
Android,2013-02-21T03:37:16Z,304434587533197312,@andreamoorehous
Android,2013-02-21T03:38:39Z,304434933932359682,@andeyr
Android,2013-02-21T03:38:39Z,304434933932359682,andey
Android,2013-02-21T03:41:42Z,304435702194647040,@innovember2012
Android,2013-02-21T03:43:37Z,304436187219763200,@ff3476
Android,2013-02-21T03:45:22Z,304436625675534336,@jennymorris427
Android,2013-02-21T03:45:22Z,304436625675534336,jenny
Android,2013-02-21T03:50:11Z,304437836294258688,@megalouise88
Android,2013-02-21T03:50:11Z,304437836294258688,write
Android,2013-02-21T03:52:15Z,304438359718248448,@lp084
Android,2013-02-21T04:19:51Z,304445304961396736,@sandyogg1
Android,2013-02-21T04:19:51Z,304445304961396736,sandy
Android,2013-02-21T04:33:57Z,304448852176539648,@trooper0017
Android,2013-02-21T04:38:01Z,304449876639485952,@jamyawh
Android,2013-02-22T13:02:58Z,304939337588568064,drew
Android,2013-02-22T13:02:58Z,304939337588568064,peterson
Android,2013-02-22T13:02:58Z,304939337588568064,killing
Android,2013-02-22T13:02:58Z,304939337588568064,wife
Android,2013-02-22T13:02:58Z,304939337588568064,bring
Android,2013-02-22T13:02:58Z,304939337588568064,death
Android,2013-02-22T13:02:58Z,304939337588568064,penalty
Android,2013-02-22T13:04:50Z,304939807258324992,@mandasueheller
Android,2013-02-22T13:04:50Z,304939807258324992,hall
Android,2013-02-22T22:23:48Z,305080479038726144,@shopgirlusa
Android,2013-02-22T22:23:48Z,305080479038726144,idea
Android,2013-02-22T22:59:30Z,305089459718873088,@joequinn6
Android,2013-02-22T22:59:30Z,305089459718873088,joe
Android,2013-02-22T23:31:06Z,305097412563845120,lance
Android,2013-02-22T23:31:06Z,305097412563845120,armstrong
Android,2013-02-22T23:31:06Z,305097412563845120,sued
Android,2013-02-22T23:31:06Z,305097412563845120,fed
Android,2013-02-22T23:31:06Z,305097412563845120,govt
Android,2013-02-22T23:31:06Z,305097412563845120,thinkking
Android,2013-02-23T00:17:13Z,305109019746504704,on@gretawire
Android,2013-02-23T00:17:13Z,305109019746504704,tonight
Android,2013-02-23T00:17:13Z,305109019746504704,ratings
Android,2013-02-23T00:22:01Z,305110226288377856,@robertgwinjr
Android,2013-02-23T00:22:01Z,305110226288377856,hope
Android,2013-02-23T00:26:05Z,305111252097724417,@thecrystashow
Android,2013-02-23T00:26:05Z,305111252097724417,crysta
Android,2013-02-23T00:28:36Z,305111883155906560,@rifenburgtweets
